Offset,Speed
100,-10
75,-7.5
50,-5
40,-4
30,-3
20,-2
15,-1.5
10,-1
7,-0.7
5,-0.5
3,-0.3
2,-0.2
1,-0.1
0,0.1
-1,0.2
-2,0.3
-3,0.5
-5,0.7
-7,1
-10,1.5
-15,2
-20,3
-30,4
-40,5
-50,7.5
-75,10
